open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-29 20:00:00+03:00,125.2100,125.2100,124.3800,124.5600,391837,2025-03-29 20:14:59.999000+03:00,48901294.1370,25877,157442,19651026.9000,0
2025-03-29 20:15:00+03:00,124.5600,124.9400,123.4500,124.8500,722541,2025-03-29 20:29:59.999000+03:00,89619695.6600,44698,345266,42839400.3300,0
2025-03-29 20:30:00+03:00,124.8500,125.7800,124.2700,124.3200,419823,2025-03-29 20:44:59.999000+03:00,52565289.9600,26814,206337,25830003.5800,0
2025-03-29 20:45:00+03:00,124.3100,124.7800,123.6300,124.4200,311617,2025-03-29 20:59:59.999000+03:00,38698781.6400,21586,179132,22243346.7500,0
2025-03-29 21:00:00+03:00,124.4200,125.2400,124.3000,124.9900,214097,2025-03-29 21:14:59.999000+03:00,26734709.5300,17530,104298,13025011.6900,0
2025-03-29 21:15:00+03:00,124.9800,125.1100,124.6200,125.1000,93651,2025-03-29 21:29:59.999000+03:00,11693260.4000,10340,54884,6852610.5500,0
2025-03-29 21:30:00+03:00,125.1000,125.6100,124.8900,125.4400,182088,2025-03-29 21:44:59.999000+03:00,22828155.6100,12991,95855,12015744.3300,0
2025-03-29 21:45:00+03:00,125.4500,125.5200,124.7200,124.8300,117676,2025-03-29 21:59:59.999000+03:00,14729164.0300,10172,48099,6019460.8300,0
2025-03-29 22:00:00+03:00,124.8400,125.1200,124.5500,124.6800,98609,2025-03-29 22:14:59.999000+03:00,12310061.6100,9870,52488,6552144.3600,0
2025-03-29 22:15:00+03:00,124.6700,124.8400,124.2700,124.7800,96899,2025-03-29 22:29:59.999000+03:00,12069646.4500,9382,52224,6506944.1900,0
2025-03-29 22:30:00+03:00,124.7700,124.9000,124.4600,124.6300,74048,2025-03-29 22:44:59.999000+03:00,9232467.5300,8139,35485,4425174.1800,0
2025-03-29 22:45:00+03:00,124.6300,125.2200,124.4400,125.2100,99601,2025-03-29 22:59:59.999000+03:00,12430512.5300,8382,56312,7030450.7800,0
2025-03-29 23:00:00+03:00,125.2100,125.3500,124.3700,124.4300,156177,2025-03-29 23:14:59.999000+03:00,19492864.9400,12573,73670,9194531.0900,0
2025-03-29 23:15:00+03:00,124.4400,124.8300,124.1800,124.5900,113254,2025-03-29 23:29:59.999000+03:00,14091348.9200,9653,58970,7336615.0300,0
2025-03-29 23:30:00+03:00,124.6000,125.0900,124.3900,124.3900,98506,2025-03-29 23:44:59.999000+03:00,12290977.6200,9475,53588,6688189.5000,0
2025-03-29 23:45:00+03:00,124.3800,124.5300,123.7400,123.9500,220714,2025-03-29 23:59:59.999000+03:00,27362855.3100,15269,114137,14149018.9100,0
2025-03-30 00:00:00+03:00,123.9400,124.6500,123.6300,124.5000,181012,2025-03-30 00:14:59.999000+03:00,22468836.7900,13368,99285,12324418.4100,0
2025-03-30 00:15:00+03:00,124.5000,124.7400,124.1400,124.2700,123079,2025-03-30 00:29:59.999000+03:00,15310861.5100,9314,42928,5341152.0000,0
2025-03-30 00:30:00+03:00,124.2700,124.2700,123.1500,124.1300,305419,2025-03-30 00:44:59.999000+03:00,37747519.4000,19216,127611,15778581.2500,0
2025-03-30 00:45:00+03:00,124.1200,124.7100,123.8000,124.3400,117776,2025-03-30 00:59:59.999000+03:00,14645806.8700,9386,51301,6379548.2000,0
2025-03-30 01:00:00+03:00,124.3400,124.3500,123.7900,124.0900,117545,2025-03-30 01:14:59.999000+03:00,14584218.3600,10562,66466,8246733.7100,0
2025-03-30 01:15:00+03:00,124.0900,124.3400,123.9100,124.2300,67454,2025-03-30 01:29:59.999000+03:00,8370347.7300,6397,37335,4633344.3300,0
